expiry,date,cfg,dte,spot,credit,sc_d,sp_d,lc_d,lp_d,call_width,put_width,pnl_pts,max_dd_pts,gross,slip,stat,buy_turn,sell_turn,net,maxloss,year
20220721,2022-07-15,0.35/0.15,6.24,34639.15,279.6,0.36,-0.337,0.143,-0.153,600,600,21.200000000000045,-2.199999999999932,6360.000000000014,89.88079938838985,476.3283454,153285.0,159645.0,5793.790855211623,96120.0,2022
20220721,2022-07-15,0.25/0.1,6.24,34639.15,185.79999999999995,0.237,-0.265,0.098,-0.097,500,700,24.44999999999996,-10.900000000000034,7334.999999999988,82.0600813342379,369.75468939999996,94260.0,101595.0,6883.18522926575,154260.0,2022
20220721,2022-07-18,0.35/0.15,3.24,34874.95,207.45000000000005,0.337,-0.339,0.161,-0.144,400,500,-35.74999999999994,-37.75000000000003,-10724.999999999984,275.23256480768714,481.0351234,167190.0,156465.00000000003,-11481.26768820767,87764.99999999999,2022
20220721,2022-07-18,0.25/0.1,3.24,34874.95,138.25000000000003,0.24,-0.248,0.103,-0.097,400,500,-41.99999999999994,-42.049999999999926,-12599.999999999984,191.8818859806284,379.9939246,113084.99999999999,100485.0,-13171.875810580612,108525.0,2022
20220721,2022-07-19,0.35/0.15,2.24,35298.5,214.20000000000005,0.378,-0.365,0.161,-0.142,400,500,-38.09999999999994,-39.84999999999994,-11429.999999999982,223.65979826203184,451.4840728000001,151470.0,140040.00000000003,-12105.143871062013,85739.99999999999,2022
20220721,2022-07-19,0.25/0.1,2.24,35298.5,134.5,0.257,-0.258,0.095,-0.092,400,500,-41.29999999999998,-44.10000000000002,-12389.999999999995,153.50012769499568,348.62025639999996,95760.0,83370.0,-12892.12038409499,109650.0,2022
20220721,2022-07-20,0.35/0.15,1.24,36137.8,139.05,0.32,-0.326,0.158,-0.143,300,400,30.100000000000023,-1.75,9030.000000000007,248.5746689465969,336.2624608,74790.0,83820.0,8445.162870253409,78285.0,2022
20220721,2022-07-20,0.25/0.1,1.24,36137.8,119.75,0.257,-0.267,0.095,-0.096,400,500,35.19999999999999,-0.8499999999999943,10559.999999999996,240.70149535441644,294.3828994,50835.0,61395.0,10024.91560524558,114075.0,2022
20220915,2022-09-09,0.35/0.15,6.24,40547.75,318.5,0.34,-0.354,0.148,-0.146,600,800,2.3500000000000227,-16.350000000000023,705.0000000000068,324.12020764566387,532.2195814,187650.0,188355.0,-151.33978904565708,144450.0,2022
20220915,2022-09-09,0.25/0.1,6.24,40547.75,224.2,0.266,-0.26,0.106,-0.1,600,800,6.150000000000034,-11.600000000000023,1845.0000000000102,209.28720333499237,421.1082933999999,126029.99999999999,127875.0,1214.604503265018,172740.0,2022
20220915,2022-09-12,0.35/0.15,3.24,40559.05,285.25,0.364,-0.339,0.147,-0.159,600,600,4.25,-2.5500000000000114,1275.0,520.7021738055498,497.80392220000004,168420.0,169695.0,256.49390399445014,94425.0,2022
20220915,2022-09-12,0.25/0.1,3.24,40559.05,167.25,0.243,-0.237,0.101,-0.103,500,600,6.200000000000017,-0.3499999999999943,1860.000000000005,288.83102722553525,372.685213,99495.0,101354.99999999999,1198.4837597744697,129825.0,2022
20220915,2022-09-13,0.35/0.15,2.24,40821.55,239.74999999999997,0.366,-0.334,0.141,-0.161,500,500,10.850000000000023,-0.30000000000009663,3255.000000000007,876.9795243793826,441.05213260000005,136020.0,139275.0,1936.968343020624,78075.0,2022
20220915,2022-09-13,0.25/0.1,2.24,40821.55,161.10000000000002,0.264,-0.254,0.111,-0.1,400,600,13.450000000000017,-1.8999999999999773,4035.000000000005,598.3466835606954,352.6988836,87104.99999999999,91139.99999999999,3083.9544328393094,131670.0,2022
20220915,2022-09-14,0.35/0.15,1.24,40781.05,213.8,0.368,-0.344,0.151,-0.157,400,500,-116.70000000000005,-127.34999999999997,-35010.000000000015,479.9905943386979,564.6547654,229095.00000000003,194084.99999999997,-36054.645359738715,85860.0,2022
20220915,2022-09-14,0.25/0.1,1.24,40781.05,144.64999999999998,0.247,-0.257,0.086,-0.095,400,600,-132.5,-152.64999999999998,-39750.0,330.3138796559002,435.9118054,161715.0,121964.99999999999,-40516.2256850559,136605.0,2022
20221027,2022-10-21,0.35/0.15,6.24,40542.95,259.09999999999997,0.351,-0.338,0.149,-0.159,500,600,-8.5,-62.299999999999955,-2550.0,838.2349125695717,494.598538,169200.0,166650.0,-3882.833450569572,102270.00000000001,2022
20221027,2022-10-21,0.25/0.1,6.24,40542.95,171.7,0.259,-0.237,0.097,-0.104,500,600,-8.750000000000028,-75.80000000000001,-2625.0000000000086,576.1407860050494,383.7966808,108555.0,105929.99999999999,-3584.937466805058,128490.0,2022
20221027,2022-10-25,0.35/0.15,2.24,41246.0,161.89999999999998,0.338,-0.336,0.167,-0.158,300,400,22.24999999999997,-1.4000000000000057,6674.999999999992,419.0578135752459,366.79261600000007,93075.0,99750.0,5889.149570424746,71430.0,2022
20221027,2022-10-25,0.25/0.1,2.24,41246.0,119.75,0.273,-0.233,0.095,-0.106,400,400,27.05000000000001,-8.75,8115.000000000004,335.8599263367451,302.54142519999994,56925.0,65040.0,7476.5986484632585,84075.0,2022
20221208,2022-12-02,0.35/0.15,6.24,43037.35,195.95,0.335,-0.337,0.164,-0.145,400,500,12.299999999999955,-10.950000000000017,3689.9999999999864,484.262985594807,416.221576,122130.0,125820.00000000001,2789.5154384051793,91215.0,2022
20221208,2022-12-02,0.25/0.1,6.24,43037.35,128.1,0.24,-0.245,0.109,-0.102,400,500,11.549999999999997,-10.100000000000023,3464.999999999999,275.0770290795705,335.2503832,77925.0,81390.0,2854.672587720429,111570.0,2022
20221208,2022-12-05,0.35/0.15,3.24,43060.9,198.64999999999998,0.364,-0.366,0.154,-0.136,400,500,-16.200000000000074,-18.00000000000003,-4860.000000000022,399.28723319977615,410.3097928,124560.00000000001,119699.99999999999,-5669.597025999798,90405.0,2022
20221208,2022-12-05,0.25/0.1,3.24,43060.9,119.15,0.247,-0.251,0.095,-0.091,400,500,-15.749999999999972,-19.69999999999999,-4724.999999999992,285.71055730948683,322.24386580000004,76230.0,71505.0,-5332.954423109479,114255.0,2022
20221208,2022-12-06,0.35/0.15,2.24,43232.75,141.10000000000002,0.325,-0.322,0.157,-0.142,300,400,-1.9499999999999886,-8.149999999999977,-584.9999999999966,256.6064372799777,364.085098,96405.0,95820.00000000001,-1205.6915352799742,77670.0,2022
20221208,2022-12-06,0.25/0.1,2.24,43232.75,121.65000000000002,0.261,-0.264,0.094,-0.095,400,500,-2.749999999999986,-19.149999999999963,-824.9999999999957,384.8055641221117,314.1211432,69195.0,68370.0,-1523.9267073221074,113504.99999999999,2022
20221208,2022-12-07,0.35/0.15,1.24,43241.6,183.3,0.385,-0.378,0.144,-0.154,400,400,29.5,-7.44999999999996,8850.0,356.50818287971333,351.73529859999996,83385.00000000001,92235.0,8141.756518520287,65010.0,2022
20221208,2022-12-07,0.25/0.1,1.24,43241.6,94.1,0.245,-0.246,0.11,-0.097,300,400,26.799999999999997,-14.599999999999994,8039.999999999999,182.57832153058197,278.6544796,43890.0,51930.0,7578.767198869417,91770.0,2022
20230202,2023-01-27,0.35/0.15,6.24,40908.75,399.89999999999986,0.338,-0.346,0.151,-0.178,900,900,-23.95000000000016,-78.25000000000011,-7185.000000000047,2191.074540101585,730.8664623999999,301695.0,294510.0,-10106.941002501631,150030.00000000003,2023
20230202,2023-01-27,0.25/0.1,6.24,40908.75,298.35,0.245,-0.24,0.098,-0.08,900,1400,-32.950000000000045,-123.55000000000007,-9885.000000000015,1246.072025048185,508.01122179999993,181410.0,171525.0,-11639.083246848199,330495.0,2023
20230202,2023-01-30,0.35/0.15,3.24,40375.85,479.1000000000001,0.358,-0.361,0.146,-0.154,1100,1300,43.400000000000034,-130.24999999999983,13020.000000000011,1417.1658058967992,682.014808,261540.0,274560.0,10920.819386103212,246269.99999999997,2023
20230202,2023-01-30,0.25/0.1,3.24,40375.85,294.6,0.247,-0.244,0.099,-0.102,1000,1300,61.599999999999994,-76.94999999999993,18480.0,1173.4191377739703,489.43608520000004,152430.0,170910.0,16817.14477702603,301620.0,2023
20230202,2023-01-31,0.35/0.15,2.24,40304.4,420.25,0.354,-0.341,0.152,-0.149,1000,1000,30.69999999999999,-15.949999999999989,9209.999999999996,1948.6067283626946,635.1784384,238410.0,247620.0,6626.214833237302,173925.0,2023
20230202,2023-01-31,0.25/0.1,2.24,40304.4,284.6,0.26,-0.249,0.103,-0.104,1000,1000,36.30000000000001,-6.2999999999999545,10890.000000000004,1395.1516436844606,479.34640779999995,151935.0,162825.0,9015.501948515543,214620.0,2023
20230202,2023-02-01,0.35/0.15,1.24,41048.35,333.09999999999997,0.344,-0.364,0.152,-0.147,700,900,-146.34999999999997,-307.50000000000006,-43904.99999999999,3429.690965441362,625.442149,268290.0,224385.0,-47960.133114441356,170070.00000000003,2023
20230202,2023-02-01,0.25/0.1,1.24,41048.35,209.99999999999994,0.248,-0.247,0.104,-0.096,700,900,-106.20000000000005,-300.3,-31860.000000000015,2630.700283682285,460.0836502,169725.0,137865.0,-34950.7839338823,207000.0,2023
20230316,2023-03-10,0.35/0.15,6.24,40466.8,249.74999999999997,0.354,-0.354,0.157,-0.144,500,700,14.349999999999994,-10.249999999999972,4304.999999999998,324.127685053379,457.73978079999995,144465.0,148770.0,3523.132534146619,135075.0,2023
20230316,2023-03-10,0.25/0.1,6.24,40466.8,165.2,0.261,-0.243,0.092,-0.097,600,700,16.849999999999966,-14.999999999999972,5054.99999999999,200.27422158794525,357.3836776,88995.0,94050.0,4497.342100812045,160440.0,2023
20230316,2023-03-13,0.35/0.15,3.24,40450.75,225.74999999999997,0.374,-0.345,0.152,-0.151,500,500,-117.9,-134.9,-35370.0,545.5003142707701,588.5902906,242445.00000000003,207075.0,-36504.09060487077,82275.0,2023
20230316,2023-03-13,0.25/0.1,3.24,40450.75,145.3,0.269,-0.252,0.102,-0.107,500,500,-134.39999999999998,-157.49999999999994,-40319.99999999999,529.758741822877,475.63984419999997,183855.0,143535.0,-41325.39858602287,106410.0,2023
20230316,2023-03-14,0.35/0.15,2.24,39520.4,244.75,0.373,-0.333,0.144,-0.153,600,600,25.900000000000006,-11.849999999999966,7770.000000000002,957.1911452879731,443.99727399999995,134640.0,142410.0,6368.811580712028,106575.0,2023
20230316,2023-03-14,0.25/0.1,2.24,39520.4,147.8,0.239,-0.257,0.104,-0.105,500,700,21.550000000000026,-18.799999999999955,6465.000000000007,832.2953260225725,350.0536504,84045.0,90510.0,5282.651023577435,165660.0,2023
20230316,2023-03-15,0.35/0.15,1.24,39698.6,173.75,0.368,-0.349,0.154,-0.156,400,400,-73.04999999999998,-74.15000000000003,-21914.999999999996,1237.2974982674032,434.8784608,149325.0,127410.00000000001,-23587.175959067397,67875.0,2023
