period,cond,q,h,nobs,excess,lo,hi,sig
2025 in-sample,bar_no,1,15,442,-1.07,-3.86,1.75,False
2025 in-sample,bar_no,2,15,414,-0.44,-3.38,2.48,False
2025 in-sample,bar_no,3,15,431,1.44,-1.2,4.04,False
2025 in-sample,bar_no,4,15,410,0.16,-2.71,2.93,False
2025 in-sample,bar_no,0,30,442,-0.38,-5.39,4.21,False
2025 in-sample,bar_no,1,30,440,-3.54,-7.58,0.7,False
2025 in-sample,bar_no,2,30,414,2.1,-2.21,6.5,False
2025 in-sample,bar_no,3,30,431,1.15,-4.01,5.75,False
2025 in-sample,bar_no,4,30,341,-2.55,-7.98,2.24,False
2025 in-sample,bar_no,0,60,442,-0.11,-7.64,7.41,False
2025 in-sample,bar_no,1,60,445,-3.46,-9.43,3.46,False
2025 in-sample,bar_no,2,60,414,5.99,-0.88,13.49,False
2025 in-sample,bar_no,3,60,431,0.23,-6.23,6.38,False
2025 in-sample,bar_no,4,60,143,0.85,-10.77,10.8,False
2025 in-sample,or_rel,0,15,414,-0.02,-2.36,2.07,False
2025 in-sample,or_rel,1,15,408,1.77,-1.41,4.73,False
2025 in-sample,or_rel,2,15,404,0.33,-2.93,3.61,False
2025 in-sample,or_rel,3,15,411,-1.19,-4.46,1.94,False
2025 in-sample,or_rel,4,15,403,-0.59,-2.9,1.48,False
2025 in-sample,or_rel,0,30,402,1.58,-2.57,5.56,False
2025 in-sample,or_rel,1,30,395,1.52,-4.46,7.42,False
2025 in-sample,or_rel,2,30,389,-2.96,-8.01,2.17,False
2025 in-sample,or_rel,3,30,399,-1.42,-6.61,3.17,False
2025 in-sample,or_rel,4,30,386,-1.75,-5.57,1.51,False
2025 in-sample,or_rel,0,60,371,4.2,-2.31,10.64,False
2025 in-sample,or_rel,1,60,355,1.03,-9.23,12.26,False
2025 in-sample,or_rel,2,60,351,-3.09,-9.51,3.63,False
2025 in-sample,or_rel,3,60,357,-3.41,-11.0,3.94,False
2025 in-sample,or_rel,4,60,352,3.47,-2.92,9.71,False
2025 in-sample,gap_rel,0,15,416,-0.82,-3.55,1.92,False
2025 in-sample,gap_rel,1,15,405,2.02,-0.98,5.04,False
2025 in-sample,gap_rel,2,15,408,0.42,-2.33,3.28,False
2025 in-sample,gap_rel,3,15,408,-0.19,-3.09,2.69,False
2025 in-sample,gap_rel,4,15,403,-1.11,-3.71,0.99,False
2025 in-sample,gap_rel,0,30,405,-3.34,-8.26,1.28,False
2025 in-sample,gap_rel,1,30,388,1.63,-3.85,7.28,False
2025 in-sample,gap_rel,2,30,397,-0.29,-4.78,4.26,False
2025 in-sample,gap_rel,3,30,392,2.11,-2.2,6.23,False
2025 in-sample,gap_rel,4,30,389,-2.96,-7.7,1.4,False
2025 in-sample,gap_rel,0,60,367,-4.05,-10.91,2.82,False
2025 in-sample,gap_rel,1,60,351,3.81,-5.64,14.96,False
2025 in-sample,gap_rel,2,60,370,-0.72,-8.04,6.65,False
2025 in-sample,gap_rel,3,60,347,1.21,-6.05,7.63,False
2025 in-sample,gap_rel,4,60,351,2.39,-3.76,8.31,False
2025 in-sample,day_move_sgn,0,15,2139,-0.08,-1.26,1.07,False
2025 in-sample,day_move_sgn,0,30,2068,-0.59,-2.8,1.43,False
2025 in-sample,day_move_sgn,0,60,1875,0.59,-2.74,4.16,False
2025 in-sample,seq,0,15,496,-0.3,-2.74,2.27,False
2025 in-sample,seq,1,15,485,1.76,-0.28,4.01,False
2025 in-sample,seq,2,15,428,-1.38,-3.96,1.39,False
2025 in-sample,seq,3,15,328,1.08,-1.88,4.18,False
2025 in-sample,seq,4,15,402,-1.6,-4.94,1.3,False
2025 in-sample,seq,0,30,496,-0.84,-4.95,3.18,False
2025 in-sample,seq,1,30,481,0.18,-3.32,3.71,False
2025 in-sample,seq,2,30,421,-0.77,-4.16,3.11,False
2025 in-sample,seq,3,30,308,-0.53,-5.57,3.91,False
2025 in-sample,seq,4,30,362,-1.14,-6.29,3.86,False
2025 in-sample,seq,0,60,495,-2.01,-7.2,2.95,False
2025 in-sample,seq,1,60,472,1.59,-4.04,7.01,False
2025 in-sample,seq,2,60,387,2.72,-2.61,7.76,False
2025 in-sample,seq,3,60,268,1.43,-6.02,8.73,False
2025 in-sample,seq,4,60,253,-0.31,-10.28,9.31,False
2026 holdout,width_rel,0,15,126,-3.58,-6.93,-0.23,True
2026 holdout,width_rel,1,15,126,-3.4,-9.2,2.45,False
2026 holdout,width_rel,2,15,126,-0.15,-6.19,5.19,False
2026 holdout,width_rel,3,15,126,4.03,-2.44,10.84,False
2026 holdout,width_rel,4,15,126,5.55,-7.0,18.23,False
2026 holdout,width_rel,0,30,119,-5.25,-10.5,0.04,False
2026 holdout,width_rel,1,30,122,-3.75,-11.94,4.35,False
2026 holdout,width_rel,2,30,123,7.88,-2.03,16.91,False
2026 holdout,width_rel,3,30,122,3.08,-4.58,11.74,False
2026 holdout,width_rel,4,30,124,4.86,-16.21,23.34,False
2026 holdout,width_rel,0,60,111,-5.82,-14.23,3.35,False
2026 holdout,width_rel,1,60,101,-3.19,-12.93,6.9,False
2026 holdout,width_rel,2,60,104,-2.62,-19.16,13.42,False
2026 holdout,width_rel,3,60,104,5.35,-13.6,25.9,False
2026 holdout,width_rel,4,60,105,-2.0,-31.72,25.59,False
2026 holdout,ext,0,15,148,1.61,-3.34,6.68,False
2026 holdout,ext,1,15,147,2.15,-3.37,8.71,False
2026 holdout,ext,2,15,147,-4.23,-9.34,1.08,False
2026 holdout,ext,3,15,147,1.09,-5.02,7.09,False
2026 holdout,ext,4,15,147,5.35,-1.57,12.19,False
2026 holdout,ext,0,30,147,4.42,-4.66,14.03,False
2026 holdout,ext,1,30,145,7.96,0.45,15.68,True
2026 holdout,ext,2,30,143,-5.06,-13.66,4.13,False
2026 holdout,ext,3,30,140,-4.67,-12.39,3.18,False
2026 holdout,ext,4,30,138,8.83,0.02,18.11,True
2026 holdout,ext,0,60,124,5.52,-10.46,22.56,False
2026 holdout,ext,1,60,133,2.03,-9.49,14.39,False
2026 holdout,ext,2,60,130,-6.41,-18.5,5.82,False
2026 holdout,ext,3,60,117,-17.57,-34.96,0.16,False
2026 holdout,ext,4,60,113,13.05,-1.18,27.66,False
2026 holdout,bar_no,0,15,162,-2.86,-8.02,1.97,False
2026 holdout,bar_no,1,15,148,5.1,-4.53,17.69,False
2026 holdout,bar_no,2,15,143,-2.51,-9.45,3.28,False
2026 holdout,bar_no,3,15,141,-0.74,-9.23,6.44,False
2026 holdout,bar_no,4,15,142,7.4,-1.22,15.33,False
2026 holdout,bar_no,0,30,162,-4.97,-13.15,2.1,False
2026 holdout,bar_no,1,30,148,11.86,-2.22,28.2,False
2026 holdout,bar_no,2,30,143,-1.82,-13.88,7.88,False
2026 holdout,bar_no,3,30,141,-2.6,-12.35,5.7,False
2026 holdout,bar_no,4,30,119,11.1,-3.16,25.88,False
2026 holdout,bar_no,0,60,162,-13.3,-27.77,-0.42,True
2026 holdout,bar_no,1,60,148,6.16,-10.52,23.51,False
2026 holdout,bar_no,2,60,143,9.39,-7.86,27.58,False
2026 holdout,bar_no,3,60,141,-2.6,-25.68,19.51,False
